carat,clarity,depth,table,price
0.83,SI1,62.5,59,2825
1.17,I1,60.2,61,2825
0.91,SI2,61.3,67,2825
0.73,VS1,62.6,60,2826
0.7,VS1,57.2,59,2826
0.9,SI2,62.2,59,2826
0.7,VS1,62.2,58,2826
0.7,VS2,63.3,56,2826
0.7,VS1,59.4,61,2826
0.9,SI2,63.5,56,2826
0.78,SI1,60.8,60,2826
0.96,I1,60.7,55,2826
0.7,SI1,62.3,59,2827
0.72,VS2,64,54,2827
0.79,VVS2,62.6,58,2827
0.7,VVS1,61.6,57,2827
0.7,VVS1,62.3,55,2827
0.7,SI2,60.6,57,2828
1.01,SI2,61.6,61,2828
0.72,VS1,62.2,58,2829
0.8,SI2,63.7,54,2829
0.59,VVS1,62,56,2829
0.72,VS1,61.7,57,2829
0.75,SI2,61.9,57,2829
0.8,SI2,60.2,57,2829
0.71,VS2,62.7,59,2830
0.77,SI1,61.7,56,2830
0.97,I1,60.7,56,2830
0.53,VVS1,60.9,57,2830
0.53,VVS1,61.8,57,2830
0.8,VS2,62.1,54.4,2830
0.9,SI1,60.6,62,2830
0.76,SI2,60.8,60,2831
0.72,SI1,62.3,57,2831
0.75,SI1,61.4,57,2831
0.72,SI1,62.1,58,2831
0.79,SI1,61.8,56,2831
0.72,VS2,62.5,58,2832
0.91,SI2,62.8,61,2832
0.71,VVS2,62.1,57,2832
0.81,SI1,63,60,2832
0.82,SI1,62.5,57,2832
0.71,VS1,62.2,58,2832
0.9,SI1,64.3,63,2832
0.8,VS2,62,58,2833
0.56,IF,61,59,2833
0.7,VS2,59.6,61,2833
0.7,VS2,61,57,2833
0.61,VVS2,61.7,55,2833
0.85,SI2,62.5,57,2833
0.7,SI1,60.7,57,2833
0.8,VS2,62.2,56,2834
0.8,VS2,62.8,57,2834
0.51,VVS1,59.9,58,2834
0.53,VVS1,61.4,57,2834
0.78,VS2,61.8,55,2834
0.9,SI1,63.4,54,2834
0.9,SI2,65.3,59,2834
0.77,SI2,60.7,55,2834
0.73,VS1,61.2,56,2835
0.63,VVS2,61.9,57,2835
0.7,VS2,61.5,54,2835
0.72,VS2,62.8,57,2835
0.72,SI1,61,57,2835
0.75,VS2,59.6,59,2835
0.82,SI1,60.7,56,2836
0.71,VS2,62.8,60,2836
0.7,VS1,62.6,59,2837
0.7,VS1,61.8,56,2837
0.71,SI1,59.8,53,2838
0.76,SI1,60.9,55,2838
0.82,SI1,64.9,58,2838
0.72,VS1,58.8,60,2838
0.7,VS2,62.3,58,2838
0.7,VS2,61.7,58,2838
0.7,VS1,62.6,55,2838
0.7,VS2,59.4,61,2838
0.7,SI1,63.5,59,2838
0.7,VS2,60.9,61,2838
0.7,VS2,59.5,58,2838
0.7,VS1,63,60,2838
0.74,SI1,60,57,2839
0.71,VS1,61.5,57,2839
0.7,VS1,61.6,54,2839
0.71,VS1,62.1,55,2839
0.71,VS1,59.1,61,2839
0.71,VS1,59,60,2839
0.71,VS1,60.5,58,2839
0.7,VS1,62.4,53,2839
0.73,VS2,61.8,54,2839
0.7,VS2,62.1,54,2839
0.7,VS1,61.3,57,2839
0.71,VVS2,60.3,58,2839
0.71,VS1,59.2,58,2839
0.79,VS2,59.3,62,2839
0.71,VS1,62.7,59,2839
0.77,VS1,61,60,2840
0.75,SI2,59.8,56,2840
0.7,SI1,61,56,2840
0.71,VS2,59.3,56,2840
0.92,SI2,61.9,56,2840
0.83,SI2,61.4,59,2840
0.7,VVS1,59.2,60,2840
0.73,VS2,60.3,59,2841
0.71,VS1,63.4,55,2841
0.73,SI1,63.9,57,2841
0.82,SI2,61.7,53,2841
0.82,SI2,62.3,56,2841
0.82,SI2,59.7,57,2841
0.52,VVS1,61.2,56,2841
1,I1,58.9,60,2841
0.95,SI1,66.7,56,2841
0.73,SI1,61.4,57,2841
0.73,VS2,59.9,59,2841
0.73,VS1,61.4,58,2841
0.8,VS1,62.6,54,2842
0.7,VS2,58.7,61,2842
0.7,VS2,60.2,62,2843
0.7,VS2,62.7,58,2843
0.71,VS2,59.4,58,2843
0.81,SI2,63.2,58,2843
0.71,SI1,61.5,58,2843
0.73,VVS2,61.3,57,2843
0.73,VS1,61.8,59,2843
0.72,VS2,62,57,2843
0.81,SI2,62.1,57,2843
0.71,VVS2,60.7,57,2843
0.73,SI1,57.7,61,2844
0.7,VS1,62,59,2844
1.01,I1,61.5,57,2844
1.01,I1,63.1,57,2844
0.79,VS2,62.5,57,2844
0.7,VS2,61.8,59,2845
0.7,VS2,58.9,60,2845
0.8,VS2,63.4,60,2845
1.27,SI2,59.3,61,2845
0.79,SI1,61.5,56,2846
0.72,VS1,60.2,59,2846
0.73,VVS2,61.6,56,2846
1.01,SI2,65.4,59,2846
1.01,I1,64.2,61,2846
0.73,SI1,59.1,59,2846
0.7,SI1,61.6,57,2846
0.7,VS2,59.1,61,2846
0.77,SI1,62.9,59,2846
0.77,VS2,61.3,60,2846
0.77,VS1,61.4,58,2846
0.84,SI1,61.2,57,2847
0.72,SI1,60.3,57,2847
0.76,SI1,61.1,59,2847
0.7,VVS2,62.9,59,2848
0.54,VVS2,61.5,55,2848
0.75,SI2,64.6,57,2848
0.79,SI1,64.1,54,2849
0.74,VS1,63.1,58,2849
0.7,VS2,61,60,2850
0.7,VS2,60.8,59,2850
0.75,SI1,61.5,56,2850
1.2,I1,63.1,60,2850
0.8,SI1,63.4,57,2851
0.66,VS1,62.1,56,2851
0.87,SI2,61,63,2851
0.86,SI1,62.7,59,2851
0.74,SI1,61,57,2851
0.58,IF,60.6,59,2852
0.78,VS1,61.5,57,2852
0.74,SI1,61.3,55,2852
0.73,SI1,62.7,55,2852
0.91,SI1,63.5,57,2852
0.71,VS2,62.6,58,2853
0.71,VS1,63.5,55,2853
0.79,SI2,62.8,57,2853
0.79,SI2,60,60,2853
0.71,SI1,62.7,58,2853
0.82,VS1,61.9,58,2853
0.78,VS1,61.9,57.1,2854
0.7,VS1,62.4,56,2854
1.12,I1,59.1,61,2854
0.73,VS2,62,57,2854
0.91,VS2,64.4,62,2854
0.91,VS2,65.4,60,2854
0.91,VS2,64.2,58,2854
0.91,SI1,65.8,58,2854
0.7,VS1,58.4,59,2854
0.68,VVS2,61.7,57,2854
0.73,VS2,62.5,57,2855
1.03,SI1,63.6,57,2855
0.74,VS2,62.4,57,2855
0.98,SI2,53.3,67,2855
1.02,SI1,53,63,2856
1,SI2,67.8,61,2856
1.02,SI2,61.6,55,2856
0.6,VVS2,60.8,57,2856
0.8,SI2,61.6,56,2856
0.97,I1,60.7,56,2856
1,SI1,67.9,62,2856
0.26,VS1,62.3,57,556
0.26,VS1,62.1,56,556
0.36,SI1,61.9,55,556
0.34,VS2,57.5,61,556
0.34,SI1,63.3,57,556
0.34,SI1,63.5,55,556
0.34,SI1,63.4,55,556
0.34,VS2,59.6,62,556
0.34,SI1,62.2,54,556
0.32,VS2,64.1,54,556
0.31,VVS1,61.6,55,557
0.31,VVS1,61.3,56,557
0.31,VVS1,62.3,54,557
0.31,VVS1,62,54,557
0.31,VVS1,62.7,53,557
0.31,VVS1,62.2,53,557
0.31,VS2,62.2,53.6,557
0.31,VS1,61.6,54.8,557
0.31,VS1,61.8,54.2,557
0.33,SI2,59.4,59,557
0.33,SI2,62.3,58,557
0.33,SI2,62.6,58,557
0.33,SI2,61.9,56,557
0.33,SI2,63,58,557
0.33,VS1,62.8,58,557
0.33,VS1,61.5,61,557
0.33,VS1,62.1,55,557
0.33,SI1,63,57,557
0.33,SI1,63.6,53,557
0.33,SI1,60.4,59,557
1,SI2,66.1,56,2856
0.77,SI1,60.8,59,2856
0.77,SI1,61,58,2856
0.7,VVS2,60.1,63,2857
0.9,SI2,63.1,58,2857
0.72,SI1,62.3,57,2857
0.9,VS2,61.9,59,2857
0.72,SI1,62.1,58,2857
0.7,VVS2,62.1,56,2858
0.81,SI1,61.3,57,2858
0.81,SI1,61.7,57,2858
0.71,VS2,61,60,2858
0.7,VS2,61.4,59,2858
0.71,VS2,61.5,60,2858
0.71,VS2,63.5,59,2858
0.92,SI1,62.9,58,2858
0.76,SI1,62.7,54,2858
0.73,SI1,61.5,56,2858
0.71,VS2,60.4,62,2858
0.7,VVS2,63.6,62,2858
0.9,SI2,64.5,56,2858
0.71,VS2,56.9,65,2858
0.7,VS2,61,57,2859
0.7,VS2,62.4,56,2859
0.77,VS1,60.9,60,2859
0.71,VS1,61.5,56,2859
0.7,VS2,59.6,61,2859
0.75,VS1,55.8,70,2859
0.83,SI2,59.2,60,2859
0.71,VS2,61.3,61,2860
0.9,SI2,63.6,58,2860
0.6,VVS2,61.9,54.9,2860
0.71,VS1,62.9,57,2860
0.53,VVS1,61.4,57,2860
0.71,SI1,60.7,58,2861
0.62,VVS2,61.6,56,2861
0.62,VVS2,61.6,56,2861
0.9,SI1,63,58,2861
0.62,IF,60.1,61,2861
0.82,SI2,61.7,59,2861
0.66,VS1,61,58,2861
0.7,SI1,62.5,55,2862
0.8,SI1,62.6,58,2862
0.8,SI2,62.5,59,2862
0.79,SI1,62.3,54,2862
0.71,VVS1,63.2,60,2862
0.7,VS2,61.1,57,2862
0.7,VS2,58.7,63,2862
0.79,VS1,60,60,2862
0.7,VS2,59.5,59,2862
1.22,I1,60.9,57,2862
1.01,SI2,67.6,57,2862
0.73,VS2,62.5,61,2862
0.91,VS2,64.3,58,2863
0.71,SI1,60.8,56,2863
0.83,SI1,62.3,58,2863
0.84,SI2,62.3,59,2863
0.71,SI1,61,61,2863
0.71,SI1,59.7,59,2863
0.71,SI1,61.7,56,2863
0.71,SI1,61.7,57,2863
0.71,SI1,61.4,58,2863
0.71,SI1,60.6,58,2863
0.91,SI1,59.5,62,2863
0.9,VS2,59.8,62,2863
0.71,VVS2,61.5,62,2863
0.71,SI1,59.1,61,2863
0.72,VS2,59.5,57,2863
0.72,SI1,60.9,60,2863
0.71,VS2,61,55,2863
0.81,SI2,60.3,57,2864
0.83,VS2,61.6,58,2865
0.73,SI1,60.8,55,2865
0.56,VVS1,62,56,2866
0.56,VVS1,61.8,55,2866
0.71,VS1,62.2,55,2866
0.7,VVS1,62.3,58,2866
0.96,SI1,61.3,58,2866
0.71,VVS1,62.9,57,2867
0.7,VS2,62.4,57,2867
0.71,VVS1,60.4,57,2867
0.8,VS2,61.2,53,2867
0.95,SI2,58.4,57,2867
0.82,SI2,62.3,56,2867
0.52,VVS1,61.2,56,2867
0.82,SI2,61.7,53,2867
0.82,SI2,62.3,56,2867
0.82,SI2,59.7,57,2867
0.8,SI1,61.3,57,2867
0.96,SI2,68.2,61,2867
0.72,VS1,62.4,55,2868
0.62,IF,60.5,57,2868
0.79,SI2,61,58,2868
0.75,SI1,63.1,56,2868
1.08,I1,61.9,60,2869
0.72,SI1,60.8,55,2869
0.62,IF,61.8,56,2869
0.73,VVS2,61.3,57,2869
0.72,VVS2,60.9,57,2869
0.52,VVS2,61.8,60,2870
0.83,SI2,62.2,57,2870
0.64,VVS2,62.1,58,2870
0.8,SI1,62.5,57,2870
0.74,SI1,62.1,56,2870
0.72,SI1,61.5,56,2870
0.82,VS2,59.5,57,2870
0.73,VS1,61.3,59,2870
1.04,I1,61.6,61,2870
0.73,SI1,61.3,58,2871
0.73,SI1,63.6,57,2871
0.9,SI1,62.8,59,2871
0.75,SI1,61.8,55,2871
0.79,SI1,62.6,55,2871
0.7,SI1,62.5,56.7,2872
0.75,SI1,60.7,55,2872
1.02,I1,61.7,56,2872
0.7,SI2,59,62,2872
0.7,SI1,61.8,56,2872
0.7,SI1,61.4,64,2872
0.7,SI1,61.4,54,2872
0.7,SI1,60.7,56,2872
0.7,SI1,60.2,60,2872
0.72,VS2,58.3,57,2872
0.74,SI1,62.3,58,2872
0.84,SI1,65.1,55,2872
0.76,VS2,62,58,2873
0.77,SI1,63.2,58,2873
0.76,SI2,62.8,56,2873
1,SI2,61.7,56,2873
1,SI1,65.5,62,2873
0.9,SI1,65.7,58,2873
0.9,SI1,61.8,58,2873
0.9,SI1,64,61,2873
0.9,SI1,65.3,61,2873
0.9,SI1,65.8,56,2873
0.9,SI1,60.9,61,2873
0.78,VS2,62.6,58,2874
0.71,VS2,61.2,59,2874
0.7,VS1,59,59,2874
0.7,VS1,60.8,62,2874
0.7,VVS2,61.8,58,2874
0.7,VS1,61,55,2874
0.7,VS1,61.6,55,2874
0.7,VS1,62.4,56,2874
0.7,VVS2,62.9,59,2874
1,SI2,67.7,60,2875
0.77,SI1,62.4,56,2875
1,VS1,65.5,55,2875
1,SI1,66.3,61,2875
1,SI2,69.5,55,2875
0.73,VS1,62.6,60,2876
0.79,VS2,60.6,53,2876
0.72,VS1,62.2,54,2877
0.71,VS1,62.4,56,2877
0.74,VS2,62.3,55,2877
0.7,VVS1,62.7,56,2877
0.7,VS1,59.1,62,2877
0.79,SI1,62.8,59,2878
0.79,SI1,62.7,60,2878
0.79,SI2,59.7,58,2878
0.71,VS2,61.5,55,2878
0.79,SI1,62.8,56,2878
0.73,SI1,61.4,56,2879
0.63,IF,60.3,62,2879
0.7,VS1,60.4,60,2879
0.71,VS1,62.7,58,2879
0.84,SI2,61,56,2879
0.84,SI2,62.3,55,2879
1.02,SI2,60.3,54,2879
0.72,VS1,56.9,69,2879
0.72,VS1,62,56,2879
0.92,SI2,58.7,61,2880
0.74,SI1,63.9,57,2880
0.7,VVS1,62,55,2881
0.71,VS2,60,59,2881
1.05,I1,62,59,2881
0.7,IF,62.8,56,2882
0.54,VVS1,61.8,56,2882
0.73,VS2,59.9,58,2882
0.88,SI1,56.6,65,2882
0.73,VS2,58.7,57,2882
0.72,SI1,61.8,56,2883
0.9,SI2,62.7,64,2883
0.9,SI2,65,61,2883
1.03,SI2,65.3,55,2884
0.84,SI1,63.8,57,2885
1.01,SI1,62.7,60,2885
0.77,SI2,61.5,55,2885
0.8,SI1,56.3,63,2885
0.9,SI2,66.9,57,2885
0.73,SI1,61.4,56,2886
0.72,SI1,62.7,55,2886
0.71,SI1,62.4,54,2887
0.7,VS1,62.6,59,2887
0.79,VS1,61.7,59,2888
0.72,VVS2,62.5,58,2889
0.7,VS2,63.5,54,2889
0.7,VS1,62.2,58,2889
0.9,SI2,63.5,58,2889
0.71,VS1,62.8,56,2889
0.5,VVS2,62.2,54,2889
0.5,VVS2,62.2,54,2889
0.74,SI1,61.2,56,2889
0.77,VS2,61.8,56,2889
0.77,SI1,59.8,61,2889
0.8,SI1,61.5,54,2890
0.8,SI1,62.4,57,2890
0.8,SI1,61.5,60,2890
0.8,SI1,63.8,59,2890
0.66,VVS1,61.5,56,2890
0.71,VS2,61.2,58,2891
0.71,VS2,61.2,56,2891
0.71,VS2,61.6,56,2891
0.71,VS2,62.7,56,2891
0.72,SI1,61.1,56,2891
0.71,VS2,62.3,61,2891
0.86,SI2,61.8,55,2892
1.19,I1,65.1,59,2892
0.71,VS1,62.6,55,2893
0.82,SI2,62.5,56,2893
0.71,VVS2,61.5,57,2893
0.75,VS2,62.5,57,2893
0.7,VVS1,59.2,60,2893
0.8,SI2,62.5,55,2893
0.82,SI2,59.9,62,2893
0.82,SI1,63.4,55,2893
0.82,SI1,59.9,59,2893
0.81,SI2,62.4,57,2894
0.81,SI2,62.2,57,2894
0.76,SI1,61.4,56,2894
0.71,VS2,60.9,56,2895
0.7,VS1,61.8,59,2895
0.7,VVS2,62.1,53,2895
0.74,VS1,59.8,58,2896
0.77,VS2,61.3,60,2896
0.77,VS2,58.3,63,2896
0.53,VVS1,61.6,56,2896
0.79,SI1,61.5,56,2896
0.73,SI2,61.5,55,2896
0.77,SI2,62.1,56,2896
0.77,SI1,60.9,58,2896
1.01,I1,63.1,57,2896
1.01,I1,61.5,57,2896
0.6,VVS2,60.6,57,2897
0.76,SI1,61.1,58,2897
0.54,VVS2,61.4,52,2897
0.72,SI1,62.5,55,2897
0.72,VS1,59.4,61,2897
0.74,VS2,61.8,58,2897
1.12,SI2,60.6,59,2898
0.75,SI1,62.3,55,2898
0.77,SI1,62.6,57,2898
0.98,SI2,57.9,56,2898
0.79,SI1,61.1,57,2898
0.79,SI1,62.3,57,2898
0.79,SI1,62.3,57,2898
0.79,SI1,62.3,57,2898
0.79,SI1,62.3,57,2898
0.79,SI1,62.3,57,2898
0.7,VVS1,59.9,61,2899
0.7,SI1,61.9,58,2900
0.72,VS1,62.7,58,2900
0.8,SI1,62.7,58,2901
0.81,SI2,63,56,2901
0.81,SI2,62.5,59,2901
0.74,VS2,61.9,57,2901
0.73,VS2,62,60,2902
0.73,VS2,61.4,55,2902
0.75,SI1,61.6,55,2902
0.71,VS2,64.6,59,2902
0.71,VS2,59.6,60,2902
0.75,SI1,62.8,60,2903
0.75,SI1,62.3,57,2903
0.72,SI1,61.9,55,2903
0.72,SI1,61.4,59,2903
0.72,VS2,61.1,59,2903
0.79,SI1,63,54,2904
0.79,SI2,62.8,57,2904
0.7,VS1,58.4,59,2904
0.62,VVS2,62,56,2904
0.7,VVS2,59.3,62,2905
0.7,VVS2,63.4,59,2905
0.7,VVS2,63.3,59,2905
0.71,VS2,62.1,58,2905
0.86,VS1,61.2,58,2905
0.53,VVS1,62.5,54,2905
0.91,SI1,63.5,58,2905
0.95,SI2,63.8,57,2905
0.91,SI1,62.8,59,2905
0.74,VS2,62.4,57,2906
0.8,VS1,62.2,58,2906
0.74,SI1,62.8,61,2906
0.61,VVS2,62.4,53.9,2907
0.61,VVS2,62.4,53.6,2907
0.61,VVS2,62.1,54.2,2907
